"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "XML", "Prisma", "Markdown", "PL/SQL", "YAML", "PostCSS", "comment", "blank", "total"
"e:\FYP\educonnect-fyp\src\app\admin\articles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\FYP\educonnect-fyp\src\app\admin\books\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\FYP\educonnect-fyp\src\app\admin\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\FYP\educonnect-fyp\src\app\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 4, 24
"e:\FYP\educonnect-fyp\src\app\admin\dashboard\root-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"e:\FYP\educonnect-fyp\src\app\admin\events\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\FYP\educonnect-fyp\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 5, 44
"e:\FYP\educonnect-fyp\src\app\admin\payments\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 1, 36, 325
"e:\FYP\educonnect-fyp\src\app\admin\payments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\FYP\educonnect-fyp\src\app\admin\posts\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 2, 34, 386
"e:\FYP\educonnect-fyp\src\app\admin\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\FYP\educonnect-fyp\src\app\admin\users\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\FYP\educonnect-fyp\src\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\FYP\educonnect-fyp\src\app\admin\users\users-page-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 6, 13, 144
"e:\FYP\educonnect-fyp\src\app\api\admin\articles\[id]\route.ts", "TypeScript", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22, 175
"e:\FYP\educonnect-fyp\src\app\api\admin\articles\route.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 142
"e:\FYP\educonnect-fyp\src\app\api\admin\books\[id]\route.ts", "TypeScript", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 35, 40, 254
"e:\FYP\educonnect-fyp\src\app\api\admin\books\route.ts", "TypeScript", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 21, 24, 176
"e:\FYP\educonnect-fyp\src\app\api\admin\chat\groups\[id]\route.ts", "TypeScript", 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 26, 47, 376
"e:\FYP\educonnect-fyp\src\app\api\admin\chat\groups\route.ts", "TypeScript", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 19, 24, 216
"e:\FYP\educonnect-fyp\src\app\api\admin\chat\messages\[id]\route.ts", "TypeScript", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 19, 28, 284
"e:\FYP\educonnect-fyp\src\app\api\admin\chat\messages\route.ts", "TypeScript", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 236
"e:\FYP\educonnect-fyp\src\app\api\admin\chat\route.ts", "TypeScript", 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 22, 25, 256
"e:\FYP\educonnect-fyp\src\app\api\admin\dashboard-stats\route.ts", "TypeScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 139
"e:\FYP\educonnect-fyp\src\app\api\admin\events\[id]\route.ts", "TypeScript", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 23, 32, 303
"e:\FYP\educonnect-fyp\src\app\api\admin\events\route.ts", "TypeScript", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 181
"e:\FYP\educonnect-fyp\src\app\api\admin\payments\[id]\route.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 231
"e:\FYP\educonnect-fyp\src\app\api\admin\payments\route.ts", "TypeScript", 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 28, 38, 334
"e:\FYP\educonnect-fyp\src\app\api\admin\posts\[id]\route.ts", "TypeScript", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 292
"e:\FYP\educonnect-fyp\src\app\api\admin\posts\route.ts", "TypeScript", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 210
"e:\FYP\educonnect-fyp\src\app\api\admin\users\[id]\route.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 204
"e:\FYP\educonnect-fyp\src\app\api\admin\users\route.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 163
